ProviderNamespace,ResourceType,ModuleDisplayName,ModuleName,ModuleStatus,RepoURL,PublicRegistryReference,TelemetryIdPrefix,PrimaryModuleOwnerGHHandle,PrimaryModuleOwnerDisplayName,SecondaryModuleOwnerGHHandle,SecondaryModuleOwnerDisplayName,ModuleOwnersGHTeam,ModuleContributorsGHTeam,Description,Comments,FirstPublishedIn
Microsoft.AAD,domainServices,Enhancing-Security-and-Monitoring-AZ-500-lab-013,Enhancing-Security-and-Monitoring-AZ-500-lab-013,Module Available :green_circle:,https://github.com/daveRendon/azinsider/tree/main/application-workloads/Enhancing-Security-and-Monitoring-AZ-500-lab-013,br/public:avm/res/aad/domain-service:X.Y.Z,46d3xbcp.res.aad-domainservice,CRYP70N1X,,,,,,,,2024-04
Microsoft.AnalysisServices,servers,a10-vthunder,a10-vthunder,Module Available :green_circle:,https://github.com/daveRendon/azinsider/tree/main/application-workloads/a10-vthunder,br/public:avm/res/analysis-services/server:X.Y.Z,46d3xbcp.res.analysisservices-server,,,,,,,,,2024-01
Microsoft.ApiManagement,service,active-directory-new-domain-ha-2-dc-zones,active-directory-new-domain-ha-2-dc-zones,Module Available :green_circle:,https://github.com/daveRendon/azinsider/tree/main/application-workloads/active-directory-new-domain-ha-2-dc-zones,br/public:avm/res/api-management/service:X.Y.Z,46d3xbcp.res.apimanagement-service,tony-box,,,,,,,,2023-12
Microsoft.App,containerApps,aks-baseline,aks-baseline,Module Available :green_circle:,https://github.com/daveRendon/azinsider/tree/main/application-workloads/aks-baseline,br/public:avm/res/app/container-app:X.Y.Z,46d3xbcp.res.app-containerapp,oZakari,,,,,,,,2024-01
Microsoft.App,managedEnvironments,aks,aks,Module Available :green_circle:,https://github.com/daveRendon/azinsider/tree/main/application-workloads/aks,br/public:avm/res/app/managed-environment:X.Y.Z,46d3xbcp.res.app-managedenvironment,hundredacres,,,,,,,,2023-12
Microsoft.AppConfiguration,configurationStores,automate-password-rotation-azure-key-vault,automate-password-rotation-azure-key-vault,Module Available :green_circle:,https://github.com/daveRendon/azinsider/tree/main/application-workloads/automate-password-rotation-azure-key-vault,br/public:avm/res/app-configuration/configuration-store:X.Y.Z,46d3xbcp.res.appconfiguration-configurationstore,Jfolberth,,,,,,,,2024-03
Microsoft.Automation,automationAccounts,az500-lab015-microsoft-sentinel,az500-lab015-microsoft-sentinel,Module Available :green_circle:,https://github.com/daveRendon/azinsider/tree/main/application-workloads/az500-lab015-microsoft-sentinel,br/public:avm/res/automation/automation-account:X.Y.Z,46d3xbcp.res.automation-automationaccount,elanzel,,,,,,,,2023-12
Microsoft.AVS,privateClouds,azure-confidential-ledger,azure-confidential-ledger,Module Available :green_circle:,https://github.com/daveRendon/azinsider/tree/main/application-workloads/azure-confidential-ledger,br/public:avm/res/avs/private-cloud:X.Y.Z,46d3xbcp.res.avs-privatecloud,vivalada,,,,,,,,
Microsoft.Batch,batchAccounts,azure-container-apps,azure-container-apps,Module Available :green_circle:,https://github.com/daveRendon/azinsider/tree/main/application-workloads/azure-container-apps,br/public:avm/res/batch/batch-account:X.Y.Z,46d3xbcp.res.batch-batchaccount,didayal-msft,,,,,,,,2023-11
Microsoft.Cache,Redis,azure-databricks-workspace,azure-databricks-workspace,Module Available :green_circle:,https://github.com/daveRendon/azinsider/tree/main/application-workloads/azure-databricks-workspace,br/public:avm/res/cache/redis:X.Y.Z,46d3xbcp.res.cache-redis,hundredacres,,,,,,,,2024-01
Microsoft.Cdn,profiles,azure-environment-network-security-groups-and-application-security-groups,azure-environment-network-security-groups-and-application-security-groups,Module Available :green_circle:,https://github.com/daveRendon/azinsider/tree/main/application-workloads/azure-environment-network-security-groups-and-application-security-groups,br/public:avm/res/cdn/profile:X.Y.Z,46d3xbcp.res.cdn-profile,gbeaud,,,,,,,,2024-03
Microsoft.CognitiveServices,accounts,azure-event-grid-custom-topic-and-event-hub-handler,azure-event-grid-custom-topic-and-event-hub-handler,Module Available :green_circle:,https://github.com/daveRendon/azinsider/tree/main/application-workloads/azure-event-grid-custom-topic-and-event-hub-handler,br/public:avm/res/cognitive-services/account:X.Y.Z,46d3xbcp.res.cognitiveservices-account,ilhaan,,,,,,,,2023-10
Microsoft.Communication,communicationServices,azure-event-grid-viewer,azure-event-grid-viewer,Module Available :green_circle:,https://github.com/daveRendon/azinsider/tree/main/application-workloads/azure-event-grid-viewer,br/public:avm/res/communication/communication-service:X.Y.Z,46d3xbcp.res.communication-communicationservice,krbar,,,,,,,,
Microsoft.Communication,emailServices,azure-event-hub-namespace-and-vnet-integration,azure-event-hub-namespace-and-vnet-integration,Module Available :green_circle:,https://github.com/daveRendon/azinsider/tree/main/application-workloads/azure-event-hub-namespace-and-vnet-integration,br/public:avm/res/communication/email-service:X.Y.Z,46d3xbcp.res.communication-emailservice,krbar,,,,,,,,
Microsoft.Compute,availabilitySets,azure-firewall-environment,azure-firewall-environment,Module Available :green_circle:,https://github.com/daveRendon/azinsider/tree/main/application-workloads/azure-firewall-environment,br/public:avm/res/compute/availability-set:X.Y.Z,46d3xbcp.res.compute-availabilityset,ahmadabdalla,,,,,,,,2024-02
Microsoft.Compute,disks,azure-function-http-trigger,azure-function-http-trigger,Module Available :green_circle:,https://github.com/daveRendon/azinsider/tree/main/application-workloads/azure-function-http-trigger,br/public:avm/res/compute/disk:X.Y.Z,46d3xbcp.res.compute-disk,segraef,,,,,,,,2024-01
Microsoft.Compute,diskEncryptionSets,azure-functions-dotnet-worker,azure-functions-dotnet-worker,Module Available :green_circle:,https://github.com/daveRendon/azinsider/tree/main/application-workloads/azure-functions-dotnet-worker,br/public:avm/res/compute/disk-encryption-set:X.Y.Z,46d3xbcp.res.compute-diskencryptionset,segraef,,,,,,,,2024-01
Microsoft.Compute,galleries,azure-functions-for-powershell-linux,azure-functions-for-powershell-linux,Module Available :green_circle:,https://github.com/daveRendon/azinsider/tree/main/application-workloads/azure-functions-for-powershell-linux,br/public:avm/res/compute/gallery:X.Y.Z,46d3xbcp.res.compute-gallery,ReneHezser,,,,,,,,2023-12
Microsoft.Compute,images,azure-labs,azure-labs,Module Available :green_circle:,https://github.com/daveRendon/azinsider/tree/main/application-workloads/azure-labs,br/public:avm/res/compute/image:X.Y.Z,46d3xbcp.res.compute-image,tony-box,,,,,,,,2024-01
Microsoft.Compute,proximityPlacementGroups,azure-logic-app,azure-logic-app,Module Available :green_circle:,https://github.com/daveRendon/azinsider/tree/main/application-workloads/azure-logic-app,br/public:avm/res/compute/proximity-placement-group:X.Y.Z,46d3xbcp.res.compute-proximityplacementgroup,jeetgarg,,,,,,,,2024-01
Microsoft.Compute,sshPublicKeys,azure-managed-grafana,azure-managed-grafana,Module Available :green_circle:,https://github.com/daveRendon/azinsider/tree/main/application-workloads/azure-managed-grafana,br/public:avm/res/compute/ssh-public-key:X.Y.Z,46d3xbcp.res.compute-sshpublickey,ChrisSidebotham,,,,,,,,2023-10
Microsoft.Compute,virtualMachines,azure-openai,azure-openai,Module Available :green_circle:,https://github.com/daveRendon/azinsider/tree/main/application-workloads/azure-openai,br/public:avm/res/compute/virtual-machine:X.Y.Z,46d3xbcp.res.compute-virtualmachine,rahalan,,,,,,,,2024-01
Microsoft.Compute,virtualMachineScaleSets,azure-purview,azure-purview,Module Available :green_circle:,https://github.com/daveRendon/azinsider/tree/main/application-workloads/azure-purview,br/public:avm/res/compute/virtual-machine-scale-set:X.Y.Z,46d3xbcp.res.compute-virtualmachinescaleset,rahalan,,,,,,,,2024-03
Microsoft.Consumption,budgets,azure-sentinel,azure-sentinel,Module Available :green_circle:,https://github.com/daveRendon/azinsider/tree/main/application-workloads/azure-sentinel,br/public:avm/res/consumption/budget:X.Y.Z,46d3xbcp.res.consumption-budget,segraef,,,,,,,,2024-01
Microsoft.ContainerInstance,containerGroups,azure-web-app-private-link-with-azure-sql-db-and-storage,azure-web-app-private-link-with-azure-sql-db-and-storage,Module Available :green_circle:,https://github.com/daveRendon/azinsider/tree/main/application-workloads/azure-web-app-private-link-with-azure-sql-db-and-storage,br/public:avm/res/container-instance/container-group:X.Y.Z,46d3xbcp.res.containerinstance-containergroup,JPEasier,,,,,,,,2024-03
Microsoft.ContainerRegistry,registries,barracuda-waf-vm,barracuda-waf-vm,Module Available :green_circle:,https://github.com/daveRendon/azinsider/tree/main/application-workloads/barracuda-waf-vm,br/public:avm/res/container-registry/registry:X.Y.Z,46d3xbcp.res.containerregistry-registry,JPEasier,,,,,,,,2024-01
Microsoft.ContainerService,managedClusters,basic-web-app-solution,basic-web-app-solution,Module Available :green_circle:,https://github.com/daveRendon/azinsider/tree/main/application-workloads/basic-web-app-solution,br/public:avm/res/container-service/managed-cluster:X.Y.Z,46d3xbcp.res.containerservice-managedcluster,JPEasier,,,,,,,,2024-01
Microsoft.Dashboard,grafana,chatgpt-base,chatgpt-base,Module Available :green_circle:,https://github.com/daveRendon/azinsider/tree/main/application-workloads/chatgpt-base,br/public:avm/res/dashboard/grafana:X.Y.Z,46d3xbcp.res.dashboard-grafana,vlahane,,,,,,,,
Microsoft.Databricks,accessConnectors,checkpoint-cloudguard-network-security-firewall-threat-prevention,checkpoint-cloudguard-network-security-firewall-threat-prevention,Module Available :green_circle:,https://github.com/daveRendon/azinsider/tree/main/application-workloads/checkpoint-cloudguard-network-security-firewall-threat-prevention,br/public:avm/res/databricks/access-connector:X.Y.Z,46d3xbcp.res.databricks-accessconnector,clintgrove,,,,,,,,2024-01
Microsoft.Databricks,workspaces,computer-vision,computer-vision,Module Available :green_circle:,https://github.com/daveRendon/azinsider/tree/main/application-workloads/computer-vision,br/public:avm/res/databricks/workspace:X.Y.Z,46d3xbcp.res.databricks-workspace,clintgrove,,,,,,,,2024-01
Microsoft.DataFactory,factories,cortex-certifai,cortex-certifai,Module Available :green_circle:,https://github.com/daveRendon/azinsider/tree/main/application-workloads/cortex-certifai,br/public:avm/res/data-factory/factory:X.Y.Z,46d3xbcp.res.datafactory-factory,clintgrove,,,,,,,,2023-12
Microsoft.DataProtection,backupVaults,cpanel-whm-for-azure,cpanel-whm-for-azure,Module Available :green_circle:,https://github.com/daveRendon/azinsider/tree/main/application-workloads/cpanel-whm-for-azure,br/public:avm/res/data-protection/backup-vault:X.Y.Z,46d3xbcp.res.dataprotection-backupvault,hundredacres,,,,,,,,2024-01
Microsoft.DBforMySQL,flexibleServers,create-cognitive-services-text-analytics-container,create-cognitive-services-text-analytics-container,Module Available :green_circle:,https://github.com/daveRendon/azinsider/tree/main/application-workloads/create-cognitive-services-text-analytics-container,br/public:avm/res/db-for-my-sql/flexible-server:X.Y.Z,46d3xbcp.res.dbformysql-flexibleserver,hundredacres,,,,,,,,2024-01
Microsoft.DBforPostgreSQL,flexibleServers,create-data-science-vm-windows,create-data-science-vm-windows,Module Available :green_circle:,https://github.com/daveRendon/azinsider/tree/main/application-workloads/create-data-science-vm-windows,br/public:avm/res/db-for-postgre-sql/flexible-server:X.Y.Z,46d3xbcp.res.dbforpostgresql-flexibleserver,josearper,,,,,,,,2023-11
Microsoft.DesktopVirtualization,applicationGroups,create-front-door-for-a-highly-available-web-app,create-front-door-for-a-highly-available-web-app,Module Available :green_circle:,https://github.com/daveRendon/azinsider/tree/main/application-workloads/create-front-door-for-a-highly-available-web-app,br/public:avm/res/desktop-virtualization/application-group:X.Y.Z,46d3xbcp.res.desktopvirtualization-appgroup,moisesjgomez,,,,,,,,2024-02
Microsoft.DesktopVirtualization,hostPools,create-language-service,create-language-service,Module Available :green_circle:,https://github.com/daveRendon/azinsider/tree/main/application-workloads/create-language-service,br/public:avm/res/desktop-virtualization/host-pool:X.Y.Z,46d3xbcp.res.desktopvirtualization-hostpool,danycontre,,,,,,,,2024-02
Microsoft.DesktopVirtualization,scalingPlans,create-service-bus-namespace-and-topic,create-service-bus-namespace-and-topic,Module Available :green_circle:,https://github.com/daveRendon/azinsider/tree/main/application-workloads/create-service-bus-namespace-and-topic,br/public:avm/res/desktop-virtualization/scaling-plan:X.Y.Z,46d3xbcp.res.desktopvirtualization-scalingplan,danycontre,,,,,,,,2024-02
Microsoft.DesktopVirtualization,workspaces,create-vm-series-next-generation-firewall-palo-alto-networks,create-vm-series-next-generation-firewall-palo-alto-networks,Module Available :green_circle:,https://github.com/daveRendon/azinsider/tree/main/application-workloads/create-vm-series-next-generation-firewall-palo-alto-networks,br/public:avm/res/desktop-virtualization/workspace:X.Y.Z,46d3xbcp.res.desktopvirtualization-workspace,moisesjgomez,,,,,,,,2024-02
Microsoft.DevCenter,devcenters,create-win-vm-with-obs-ndi-skype,create-win-vm-with-obs-ndi-skype,Module Available :green_circle:,https://github.com/daveRendon/azinsider/tree/main/application-workloads/create-win-vm-with-obs-ndi-skype,br/public:avm/res/dev-center/devcenter:X.Y.Z,46d3xbcp.res.devcenter-devcenter,lohithgn,,,,,,,,
Microsoft.DevTestLab,labs,create-wordpress-using-bicep-modules,create-wordpress-using-bicep-modules,Module Available :green_circle:,https://github.com/daveRendon/azinsider/tree/main/application-workloads/create-wordpress-using-bicep-modules,br/public:avm/res/dev-test-lab/lab:X.Y.Z,46d3xbcp.res.devtestlab-lab,ahmadabdalla,,,,,,,,2024-02
Microsoft.DigitalTwins,digitalTwinsInstances,cross-regional-load-balancer,cross-regional-load-balancer,Module Available :green_circle:,https://github.com/daveRendon/azinsider/tree/main/application-workloads/cross-regional-load-balancer,br/public:avm/res/digital-twins/digital-twins-instance:X.Y.Z,46d3xbcp.res.digitaltwins-digitaltwinsinstance,ryanmstephens,,,,,,,,2024-03
Microsoft.DocumentDB,databaseAccount,deploy-and-monitor-api-management,deploy-and-monitor-api-management,Module Available :green_circle:,https://github.com/daveRendon/azinsider/tree/main/application-workloads/deploy-and-monitor-api-management,br/public:avm/res/document-db/database-account:X.Y.Z,46d3xbcp.res.documentdb-databaseaccount,bryansan-msft,,,,,,,,2023-12
Microsoft.EventGrid,domains,deploy-container-image-to-azure-container-registry,deploy-container-image-to-azure-container-registry,Module Available :green_circle:,https://github.com/daveRendon/azinsider/tree/main/application-workloads/deploy-container-image-to-azure-container-registry,br/public:avm/res/event-grid/domain:X.Y.Z,46d3xbcp.res.eventgrid-domain,fabmas,,,,,,,,2023-11
